Ivy Nunchuk Joystick Adapter,,,,Total Cost,Total Print time (hr),Total filament (g),,,,,,,
Version: V0.1.1,Last updated: 2023-Jul-13,,, $41.28 ,1:48,19,,,,,,,
Commercial Parts:,,,,,,,,,,,,,
Part type,Part Name,Manufacturer,Supplier,Quantity Needed,Pkg Quantity,Price per package,Price per Unit,Price for qty needed,,Link,,,
,Wii Nunchuk Controller,Ostent,Amazon,1,1, $11.49 , $11.49 , $11.49 ,,https://www.amazon.ca/dp/B00FJ2LMGK,,,
,Adafruit Wii Nunchuk Breakout,Adafruit,Digikey,1,1, $4.24 , $4.24 , $4.24 ,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4836/13577615,,,
,Qwiic Cable - 50 mm,Sparkfun Electronics,Digikey,1,1, $1.37 , $1.37 , $1.37 ,,https://www.digikey.ca/en/products/detail/sparkfun-electronics/PRT-14426/7652739,,,
,Adafruit QT PY - SAMD21,Adafruit,Digikey,1,1,10.79, $10.79 , $10.79 ,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4600/13543375,,,
,USB C Cable,Cvilux USA,Digikey,1,1, $3.25 , $3.25 , $3.25 ,,https://www.digikey.ca/en/products/detail/cvilux-usa/DH-20M50053/13177348,,,
,"Light Pipe 0.250""",Dialight,Digikey,1,1, $1.66 , $1.66 , $1.66 ,,https://www.digikey.ca/en/products/detail/dialight/51513030250F/4965201?s=N4IgTCBcDaICIEsCGAbBBzAFgFwAQFYBGfAWkIGYAGckysfSgMRAF0BfIA,,,
,Shipping,,Digikey,1,1, $8.00 , $8.00 , $8.00 ,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3D Printed Parts                                                                                     ESTIMATED PRICING USING 1KG ROLL COST:, $25.00 ,,,,,,,,,,,,
Part,Description,,,Quantity Needed,TOTAL Mass (g),Estimated Price,Print Time (hr:Min),Link,,,,,
Enclosure Top,Ivy_Nunchuk_Joystick_Adapter_Top.stl,,,1,6, $0.15 ,0:36,,,,,,
Enclosure Bottom,Ivy_Nunchuk_Joystick_Adapter_Bottom.stl,,,1,13, $0.33 ,1:12,,,,,,
,,,,,, $-   ,,,,,,,
,,,,,, $-   ,,,,,,,
,,,,,, $-   ,,,,,,,
,,,,,Total Print Cost:, $0.48 ,,,,,,,
Tools for Assembly,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Alternatives (if there are other sources for some parts link them below),,,,,,,,,,,,,
Part and description,Link,,,,,,,,,,,,
,Wii Nunchuk Controller,Adafruit,Adafruit,,,,,,,https://www.adafruit.com/product/342,,,
,Adafruit Wii Nunchuk Breakout,Adafruit,Adafruit,,,,,,,https://www.adafruit.com/product/4836,,,
,Qwiic Cable - 50 mm,Adafruit,Adafruit,,,,,,,https://www.adafruit.com/product/4399,,,
,Adafruit QT PY - SAMD21,Adafruit,Adafruit,,,,,,,https://www.adafruit.com/product/4600,,,
,,,,,,,,,,,,,
